scheme_id,scheme_name,short_title,level,scheme_for,ministry,state,category,tags,description,close_date,priority,search_text
pmksyhkkpgws,Pradhan Mantri Krishi Sinchayee Yojana - Har Khet Ko Pani (Groundwater Irrigation Scheme) Uttarakhand,PMKSYHKKPGWS,State,Infra,Not specified (state scheme),Uttarakhand,"Agriculture,Rural & Environment",Farmer;Irrigation;Groundwater Irrigation;Agriculture,The scheme aims to provide assured and sustainable irrigation to every farm by developing groundwater-based irrigation facilities for farmers. This scheme is a centrally sponsored scheme with a funding pattern of 90% Central share and 10% State share.,,3.0,"Pradhan Mantri Krishi Sinchayee Yojana - Har Khet Ko Pani (Groundwater Irrigation Scheme) Uttarakhand. The scheme aims to provide assured and sustainable irrigation to every farm by developing groundwater-based irrigation facilities for farmers. This scheme is a centrally sponsored scheme with a funding pattern of 90% Central share and 10% State share. Category: Agriculture,Rural & Environment. Tags: Farmer, Irrigation, Groundwater Irrigation, Agriculture."
jjmhgjyuk,Jal Jeevan Mission (Har Ghar Jal Yojana) - Uttarakhand,JJMHGJYUK,State,Infra,Not specified (state scheme),Uttarakhand,Utility & Sanitation,Drinking Water;Water Supply;Potable Water,"The scheme aims to provide every rural household in Uttarakhand with safe and adequate drinking water through household tap connections, ensuring the supply of 55 litres of potable water per person per day.",,3.0,"Jal Jeevan Mission (Har Ghar Jal Yojana) - Uttarakhand. The scheme aims to provide every rural household in Uttarakhand with safe and adequate drinking water through household tap connections, ensuring the supply of 55 litres of potable water per person per day. Category: Utility & Sanitation. Tags: Drinking Water, Water Supply, Potable Water."
etfuktdb,Establishment of Tea Factories - Uttarakhand Tea Development Board,ETFUKTDB,State,Infra,Not specified (state scheme),Uttarakhand,Business & Entrepreneurship,Tea;Employment;Tea Industry,"The scheme aims to promote the development of the tea industry in Uttarakhand by establishing tea factories for processing locally produced green leaves, generating local employment, enhancing farmers’ income through fair procurement, and developing a sustainable tea value chain in the state.",,3.0,"Establishment of Tea Factories - Uttarakhand Tea Development Board. The scheme aims to promote the development of the tea industry in Uttarakhand by establishing tea factories for processing locally produced green leaves, generating local employment, enhancing farmers’ income through fair procurement, and developing a sustainable tea value chain in the state. Category: Business & Entrepreneurship. Tags: Tea, Employment, Tea Industry."
cgss,Credit Guarantee Scheme for Startups,CGSS,Central,Infra,Ministry Of Commerce And Industry,All,Business & Entrepreneurship,Startup;Credit Guarantee;Collateral-Free Laon;NCGTC;DPIIT,"The GoI established the Credit Guarantee Scheme for Startups with a fixed corpus to provide credit guarantees for loans extended to DPIIT recognised startups by Scheduled Commercial Banks, NBFCs, and Venture Debt Funds (VDFs) under SEBI-registered AlFs.",,3.0,"Credit Guarantee Scheme for Startups. The GoI established the Credit Guarantee Scheme for Startups with a fixed corpus to provide credit guarantees for loans extended to DPIIT recognised startups by Scheduled Commercial Banks, NBFCs, and Venture Debt Funds (VDFs) under SEBI-registered AlFs. Category: Business & Entrepreneurship. Tags: Startup, Credit Guarantee, Collateral-Free Laon, NCGTC, DPIIT."
ifptpssguj,To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Prawn Seed Stocking - Gujarat,IFPTPSSGUJ,State,Infra,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment",Fish;Fish Activities;Fish Production;Scheduled Tribes;Fishermen;Prawn Seed;Stocking,The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to people involved in inland fisheries activities.,,3.0,"To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Prawn Seed Stocking - Gujarat. The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to people involved in inland fisheries activities. Category: Agriculture,Rural & Environment. Tags: Fish, Fish Activities, Fish Production, Scheduled Tribes, Fishermen, Prawn Seed, Stocking."
pmmsymbeguj,Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Medium Biofloc Establishment - Gujarat,PMMSYMBEGUJ,State,Infra,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment",Fish Farming;Biofloc;Recirculating Aquaculture System;Employment;Freshwater Hatcheries,The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to people involved in inland fisheries activities.,,3.0,"Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Medium Biofloc Establishment - Gujarat. The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to people involved in inland fisheries activities. Category: Agriculture,Rural & Environment. Tags: Fish Farming, Biofloc, Recirculating Aquaculture System, Employment, Freshwater Hatcheries."
asyaph,Ayurswasthya Yojana: AYUSH and Public Health,ASYAPH,Central,Infra,Ministry Of Ayush,All,Health & Wellness,AYUSH;Public Health Intervention;Community Health Care,"The scheme-component aims to promote AYUSH-based interventions to improve community health outcomes by supporting preventive, promotive, curative, and rehabilitative healthcare services.",,3.0,"Ayurswasthya Yojana: AYUSH and Public Health. The scheme-component aims to promote AYUSH-based interventions to improve community health outcomes by supporting preventive, promotive, curative, and rehabilitative healthcare services. Category: Health & Wellness. Tags: AYUSH, Public Health Intervention, Community Health Care."
spabem,A Scheme to Provide Assistance for Building E-Market Facilities in Market Committees,SPABEM,State,Infra,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment",Agriculture;E-Market,"This scheme provides financial assistance to market committees in Gujarat to establish e-market facilities, aligning with the National Agriculture Market Policy for a unified national e-market.",,3.0,"A Scheme to Provide Assistance for Building E-Market Facilities in Market Committees. This scheme provides financial assistance to market committees in Gujarat to establish e-market facilities, aligning with the National Agriculture Market Policy for a unified national e-market. Category: Agriculture,Rural & Environment. Tags: Agriculture, E-Market."
atcisg,Assistance to Co-operative Irrigation Societies M. N. R.-10 (General Area),ATCISG,State,Infra,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment",Irrigation;Co-operative Irrigation Societies;Farm Productivity;Water Distribution,"The scheme ""Assistance to Co-operative Irrigation Societies, M. N. R.-10 (General Area)"" aims to increase agricultural production by supporting irrigation cooperative societies through the provision of pumps and electric motors for efficient water distribution.",,3.0,"Assistance to Co-operative Irrigation Societies M. N. R.-10 (General Area). The scheme ""Assistance to Co-operative Irrigation Societies, M. N. R.-10 (General Area)"" aims to increase agricultural production by supporting irrigation cooperative societies through the provision of pumps and electric motors for efficient water distribution. Category: Agriculture,Rural & Environment. Tags: Irrigation, Co-operative Irrigation Societies, Farm Productivity, Water Distribution."
attisca,Assistance to Trusts/Institutions for Setting Up Cultural Centers/Auditoriums in the Municipal Area,ATTISCA,State,Infra,Not specified (state scheme),Gujarat,Sports & Culture,Cultural Infrastructure;Auditorium Construction;Cultural Centre Renovation,"The scheme ""Assistance to Trusts/Institutions for Setting Up Cultural Centers/Auditoriums in the Municipal Area"" aims to promote cultural infrastructure through financial assistance to trusts and institutions for building or renovating cultural centres within municipal areas.",,3.0,"Assistance to Trusts/Institutions for Setting Up Cultural Centers/Auditoriums in the Municipal Area. The scheme ""Assistance to Trusts/Institutions for Setting Up Cultural Centers/Auditoriums in the Municipal Area"" aims to promote cultural infrastructure through financial assistance to trusts and institutions for building or renovating cultural centres within municipal areas. Category: Sports & Culture. Tags: Cultural Infrastructure, Auditorium Construction, Cultural Centre Renovation."
sisfs-fs,Startup India Seed Fund Scheme- For Startups,SISFS-FS,Central,Infra,Ministry Of Commerce And Industry,All,Business & Entrepreneurship,Startup;Seed Fund;Financial Assistance;Incubator;Grant,"The scheme “Startup India Seed Fund Scheme (SISFS)” was launched by the DPIIT on 19th April 2021 with an outlay of INR 945 Crore to provide financial assistance to startups for Proof of Concept, prototype development, product trials, market-entry, and commercialization.",,3.0,"Startup India Seed Fund Scheme- For Startups. The scheme “Startup India Seed Fund Scheme (SISFS)” was launched by the DPIIT on 19th April 2021 with an outlay of INR 945 Crore to provide financial assistance to startups for Proof of Concept, prototype development, product trials, market-entry, and commercialization. Category: Business & Entrepreneurship. Tags: Startup, Seed Fund, Financial Assistance, Incubator, Grant."
ibps,India BPO Promotion Scheme,IBPS,Central,Infra,Ministry of Electronics and Information Technology,All,"Skills & Employment;Science, IT & Communications",Women Employees;Employement Generation;Entrepreneur;Training;BPO,"The scheme aims to create employment opportunities and promote investment in the IT/ITeS sector by establishing BPO/ITeS units in smaller cities. Through this scheme, financial support in the form of Viability Gap Funding is provided to eligible companies.",,3.0,"India BPO Promotion Scheme. The scheme aims to create employment opportunities and promote investment in the IT/ITeS sector by establishing BPO/ITeS units in smaller cities. Through this scheme, financial support in the form of Viability Gap Funding is provided to eligible companies. Category: Skills & Employment, Science, IT & Communications. Tags: Women Employees, Employement Generation, Entrepreneur, Training, BPO."
