scheme_id,scheme_name,short_title,level,scheme_for,ministry,state,category,tags,description,close_date,priority,search_text
frs,Fee Reimbursement Scheme,FRS,State,Individual,Not specified (state scheme),Uttar Pradesh,Social welfare & Empowerment,Financial Assistance;Higher Education;Student Welfare,The Uttar Pradesh government has decided to launch UP Fee Reimbursement Scheme to reimburse fees and give scholarships to students from backward classes.,,1.0,"Fee Reimbursement Scheme. The Uttar Pradesh government has decided to launch UP Fee Reimbursement Scheme to reimburse fees and give scholarships to students from backward classes. Category: Social welfare & Empowerment. Tags: Financial Assistance, Higher Education, Student Welfare."
piatibft,Promotion Of Intensive Aquaculture Through Introduction Of Bio-floc Technology During The Year 2021-22,PIATIBFT,State,Individual,Not specified (state scheme),Odisha,"Agriculture,Rural & Environment",Bio-Floc;Farming;Fish;Shrimp;Odisha,The government of Odisha introduced Bio-floc-based farming and aims to promote sustainable intensification of freshwater fish and brackish water shrimp farming for boosting productivity and generating high income in a limited area.,,1.0,"Promotion Of Intensive Aquaculture Through Introduction Of Bio-floc Technology During The Year 2021-22. The government of Odisha introduced Bio-floc-based farming and aims to promote sustainable intensification of freshwater fish and brackish water shrimp farming for boosting productivity and generating high income in a limited area. Category: Agriculture,Rural & Environment. Tags: Bio-Floc, Farming, Fish, Shrimp, Odisha."
nassvsaca,National Award For Senior Citizens (vayoshreshtha Samman): Creative Art,NASS(VS)ACA,Central,Individual,Ministry Of Social Justice and Empowerment,All,Social welfare & Empowerment,Award;Senior Citizen;Art;Social Welfare,"The ""Vayoshreshtha Samman: Creative Art"" award shall be given to winners of National or international acclaim for their contribution to literature, theatre, cinema, music, dance, painting, sculpture, photography, etc. and who continue to be active in their field well into their old age. The awards a",,1.0,"National Award For Senior Citizens (vayoshreshtha Samman): Creative Art. The ""Vayoshreshtha Samman: Creative Art"" award shall be given to winners of National or international acclaim for their contribution to literature, theatre, cinema, music, dance, painting, sculpture, photography, etc. and who continue to be active in their field well into their old age. The awards a Category: Social welfare & Empowerment. Tags: Award, Senior Citizen, Art, Social Welfare."
pmksypdmc,Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop,PMKSY:PDMC,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment",Agriculture;Crop;Farmer;Irrigation;Water Harvesting;Water Management,"The scheme “Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop” was launched by the Dept. of Agriculture & Farmers Welfare, Ministry of Agriculture & Farmers Welfare, Govt. of India on 1st July 2015. The scheme mainly focuses on water use efficiency at farm level through Micro Irrigation.",,1.0,"Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop. The scheme “Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop” was launched by the Dept. of Agriculture & Farmers Welfare, Ministry of Agriculture & Farmers Welfare, Govt. of India on 1st July 2015. The scheme mainly focuses on water use efficiency at farm level through Micro Irrigation. Category: Agriculture,Rural & Environment. Tags: Agriculture, Crop, Farmer, Irrigation, Water Harvesting, Water Management."
nassvsc,National Award For Senior Citizens (Vayoshreshtha Samman): Centenarian,NASS(VS)C,Central,Individual,Ministry Of Social Justice and Empowerment,All,Social welfare & Empowerment,Award;Financial Assistance;Senior Citizen;Social Welfare;Centenarian,"The award is conferred to the eminent and outstanding senior citizens and institutions/organizations involved in rendering distinguished service for the cause of elderly persons, especially indigent senior citizens. The awards are conferred on 1st October every year by the Hon’ble President of India",,1.0,"National Award For Senior Citizens (Vayoshreshtha Samman): Centenarian. The award is conferred to the eminent and outstanding senior citizens and institutions/organizations involved in rendering distinguished service for the cause of elderly persons, especially indigent senior citizens. The awards are conferred on 1st October every year by the Hon’ble President of India Category: Social welfare & Empowerment. Tags: Award, Financial Assistance, Senior Citizen, Social Welfare, Centenarian."
agr2fmsfotscst,AGR 2 (Farm Mechanization) Scheme Of Farmers Other Than SC/ST,AGR2(FM)SFOTSCST,State,Individual,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment",Farmer;Agriculture;Equipment;Mechanization;Financial Assistance,"The scheme “AGR 2 (Farm Mechanization) Scheme of Farmers Other Than SC/ST” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",,1.0,"AGR 2 (Farm Mechanization) Scheme Of Farmers Other Than SC/ST. The scheme “AGR 2 (Farm Mechanization) Scheme of Farmers Other Than SC/ST” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. Category: Agriculture,Rural & Environment. Tags: Farmer, Agriculture, Equipment, Mechanization, Financial Assistance."
cts,Computer Training Scheme,CTS,State,Individual,Not specified (state scheme),Uttar Pradesh,Social welfare & Empowerment;Education & Learning,Education;Training;Unemployment;Youth Empowerment,The scheme is being operated with the objective to provide better chances of employment to the youth by enhancing their skills.,,1.0,"Computer Training Scheme. The scheme is being operated with the objective to provide better chances of employment to the youth by enhancing their skills. Category: Social welfare & Empowerment, Education & Learning. Tags: Education, Training, Unemployment, Youth Empowerment."
sseg10scp,Subsidy Scheme For Establishment Of Goat Unit (10+1) For Scheduled Caste People,SSEG10SCP,State,Individual,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment;Business & Entrepreneurship",Scheduled Caste;Goat;Subsidy;Milk Production;Employment,"The scheme “Subsidy Scheme for Establishment of Goat Unit (10+1) for Scheduled Caste People” was launched by the Dept. of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to uplift economically poor livestock breeders of Gujarat State.",,1.0,"Subsidy Scheme For Establishment Of Goat Unit (10+1) For Scheduled Caste People. The scheme “Subsidy Scheme for Establishment of Goat Unit (10+1) for Scheduled Caste People” was launched by the Dept. of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to uplift economically poor livestock breeders of Gujarat State. Category: Agriculture,Rural & Environment, Business & Entrepreneurship. Tags: Scheduled Caste, Goat, Subsidy, Milk Production, Employment."
mtdy,Mukhyamantri Teerth Darshan Yojana,MTDY,State,Individual,Not specified (state scheme),Madhya Pradesh,Social welfare & Empowerment,Senior Citizen;Teerth Darshan;Pilgrimage;Religious;Journey,"The scheme “Mukhyamantri Teerth Darshan Yojana” was launched by the Department of Religious Trusts and Endowments, Government of Madhya Pradesh in June 2012.",,1.0,"Mukhyamantri Teerth Darshan Yojana. The scheme “Mukhyamantri Teerth Darshan Yojana” was launched by the Department of Religious Trusts and Endowments, Government of Madhya Pradesh in June 2012. Category: Social welfare & Empowerment. Tags: Senior Citizen, Teerth Darshan, Pilgrimage, Religious, Journey."
igsccy,Indira Gandhi Shehri Credit Card Yojana,IGSCCY,State,Individual,Not specified (state scheme),Rajasthan,Social welfare & Empowerment,Empowerment;Unemployment;Financial Assistance;Covid,Indira Gandhi Urban Credit Card Scheme-2021 is implemented to provide employment / self-employment opportunities in urban areas and to provide financial resources for everyday needs.,2022-03-31,1.0,"Indira Gandhi Shehri Credit Card Yojana. Indira Gandhi Urban Credit Card Scheme-2021 is implemented to provide employment / self-employment opportunities in urban areas and to provide financial resources for everyday needs. Category: Social welfare & Empowerment. Tags: Empowerment, Unemployment, Financial Assistance, Covid."
nassvsbpubsopwwsc,National Award For Senior Citizens (Vayoshreshtha Samman): Best Public Sector Organisation In Promoting The Wellbeing And Welfare Of Senior Citizens,NASSVSBPUBSOPWWSC,Central,Individual,Ministry Of Social Justice and Empowerment,All,Social welfare & Empowerment,Award;Social Welfare;Public Sector;Organization;Senior Citizen,"The ""Vayoshreshtha Samman: Best Private Sector Organisation in Promoting the Wellbeing and Welfare of Senior Citizens"" award shall be given to the Public Sector Undertakings Undertaking Service to the Community Through Activities Under Corporate Social Responsibility, etc.",,1.0,"National Award For Senior Citizens (Vayoshreshtha Samman): Best Public Sector Organisation In Promoting The Wellbeing And Welfare Of Senior Citizens. The ""Vayoshreshtha Samman: Best Private Sector Organisation in Promoting the Wellbeing and Welfare of Senior Citizens"" award shall be given to the Public Sector Undertakings Undertaking Service to the Community Through Activities Under Corporate Social Responsibility, etc. Category: Social welfare & Empowerment. Tags: Award, Social Welfare, Public Sector, Organization, Senior Citizen."
nassvscb,National Award For Senior Citizens (vayoshreshtha Samman): Courage & Bravery,NASS(VS)CB,Central,Individual,Ministry Of Social Justice and Empowerment,All,Social welfare & Empowerment,Award;Social Welfare;Sports;Senior Citizen,"The ""Vayoshreshtha Samman: Courage & Bravery"" award shall be given to senior citizens who have displayed extraordinary courage in the face of grave danger. The awards are conferred on 1st October every year by the Hon’ble President of India at Vigyan Bhawan, New Delhi.",,1.0,"National Award For Senior Citizens (vayoshreshtha Samman): Courage & Bravery. The ""Vayoshreshtha Samman: Courage & Bravery"" award shall be given to senior citizens who have displayed extraordinary courage in the face of grave danger. The awards are conferred on 1st October every year by the Hon’ble President of India at Vigyan Bhawan, New Delhi. Category: Social welfare & Empowerment. Tags: Award, Social Welfare, Sports, Senior Citizen."
alaes,Artificial Limbs/Assistive Equipments Scheme,ALAES,State,Individual,Not specified (state scheme),Uttar Pradesh,Social welfare & Empowerment,Financial Assistance;Welfare;Empowerment;Artificial Equipment,"""Artificial Limbs/Assistive Equipments Scheme"" was started by the Uttar Pradesh State government for persons with disabilities.",,1.0,"Artificial Limbs/Assistive Equipments Scheme. ""Artificial Limbs/Assistive Equipments Scheme"" was started by the Uttar Pradesh State government for persons with disabilities. Category: Social welfare & Empowerment. Tags: Financial Assistance, Welfare, Empowerment, Artificial Equipment."
msps,Matribhasha Satyagrahi Pension Scheme,MSPS,State,Individual,Not specified (state scheme),Haryana,Social welfare & Empowerment,Hindi Satyagraha;Satyagrahi;Pension;Hindi Andolan,"The scheme “Matribhasha Satyagrahi Pension Scheme” was launched by the Department of Information, Public Relations and Languages, Haryana on 12th December 2017. Under the scheme, the Govt. of Haryana is providing a monthly pension of ₹10,000/- to the Matribhasha Satyagrahis of Hindi Aandolan-1957.",,1.0,"Matribhasha Satyagrahi Pension Scheme. The scheme “Matribhasha Satyagrahi Pension Scheme” was launched by the Department of Information, Public Relations and Languages, Haryana on 12th December 2017. Under the scheme, the Govt. of Haryana is providing a monthly pension of ₹10,000/- to the Matribhasha Satyagrahis of Hindi Aandolan-1957. Category: Social welfare & Empowerment. Tags: Hindi Satyagraha, Satyagrahi, Pension, Hindi Andolan."
rgsfsae,Rajiv Gandhi Scholarship For Academic Excellence,RGSFSAE,State,Individual,Not specified (state scheme),Rajasthan,Education & Learning,Financial Assistance;Higher Education;Student Finance,In order to provide financial assistance to meritorious students of Rajasthan to study in top foreign universities of the world. The scheme commenced from 5th October 2021.,,1.0,"Rajiv Gandhi Scholarship For Academic Excellence. In order to provide financial assistance to meritorious students of Rajasthan to study in top foreign universities of the world. The scheme commenced from 5th October 2021. Category: Education & Learning. Tags: Financial Assistance, Higher Education, Student Finance."
ssst-pts,Stipend Scheme For Scheduled Tribes - Poultry Training Stipend,SSST-PTS,State,Individual,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment;Skills & Employment",Poultry Farming;Scheduled Tribe;Stipend;Training;Cash Assistance,"The scheme “Stipend Scheme for Scheduled Tribes - Poultry Training Stipend” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to raise the income of poultry farmers of Schedule Tribes through scientific poultry farming training.",,1.0,"Stipend Scheme For Scheduled Tribes - Poultry Training Stipend. The scheme “Stipend Scheme for Scheduled Tribes - Poultry Training Stipend” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to raise the income of poultry farmers of Schedule Tribes through scientific poultry farming training. Category: Agriculture,Rural & Environment, Skills & Employment. Tags: Poultry Farming, Scheduled Tribe, Stipend, Training, Cash Assistance."
ss-dadra-and-nagar-haveli-and-daman-and-diu,Swabhimaan Scheme,SS-DADRA AND NAGAR HAVELI AND DAMAN & DIU,State,Individual,Not specified (state scheme),Dadra & Nagar Haveli and Daman & Diu,Social welfare & Empowerment;Women and Child,Pregnant Women;Lactating Mothers;Sabla;Adolescent Girls;Supplementary Nutrition,"The Union Territory of Daman & Diu and Dadra & Nagar Haveli has successfully launched the “Swabhimaan Scheme” scheme to tackle the problems of Malnutrition, Anemia, and other relevant issues.",,1.0,"Swabhimaan Scheme. The Union Territory of Daman & Diu and Dadra & Nagar Haveli has successfully launched the “Swabhimaan Scheme” scheme to tackle the problems of Malnutrition, Anemia, and other relevant issues. Category: Social welfare & Empowerment, Women and Child. Tags: Pregnant Women, Lactating Mothers, Sabla, Adolescent Girls, Supplementary Nutrition."
cmsasps,Chief Minister Specially Abled Samman Pension Scheme,CMSASPS,State,Individual,Not specified (state scheme),Rajasthan,Social welfare & Empowerment,Financial Assistance;Empowerment;Pension;Differently Abled,Rajasthan Government started a scholarship for Specially Abled persons.,,1.0,"Chief Minister Specially Abled Samman Pension Scheme. Rajasthan Government started a scholarship for Specially Abled persons. Category: Social welfare & Empowerment. Tags: Financial Assistance, Empowerment, Pension, Differently Abled."
ipsfiomca,Internship Programme At Serious Fraud Investigation Office,SFIO,Central,Individual,Ministry of Corporate Affairs,All,Education & Learning,Internship;Student;Corporate;Fraud;Investigation,"The Internship Programme at SFIO was started in 2017 to provide a platform for the interaction of talented and young scholars and researchers from reputed academic institutions who are pursuing Post-Graduation/Research Programs in Economics/ Commerce/Law/ Management and Computer Forensics, etc.",,1.0,"Internship Programme At Serious Fraud Investigation Office. The Internship Programme at SFIO was started in 2017 to provide a platform for the interaction of talented and young scholars and researchers from reputed academic institutions who are pursuing Post-Graduation/Research Programs in Economics/ Commerce/Law/ Management and Computer Forensics, etc. Category: Education & Learning. Tags: Internship, Student, Corporate, Fraud, Investigation."
isuidai,Internship Scheme By The Unique Identification Authority Of India (UIDAI),ISUIDAI,Central,Individual,Ministry of Electronics and Information Technology,All,Education & Learning,Internship;Legal;Cyber Law;Management;Student,"The Internship Scheme by the UIDAI enables the students to gain adequate exposure to various Technology tracks and other units within UIDAI Headquarters, Technology Centre and Regional offices. It would be expected to work in the field of application development, legal domains (cyber laws/IT) etc.",,1.0,"Internship Scheme By The Unique Identification Authority Of India (UIDAI). The Internship Scheme by the UIDAI enables the students to gain adequate exposure to various Technology tracks and other units within UIDAI Headquarters, Technology Centre and Regional offices. It would be expected to work in the field of application development, legal domains (cyber laws/IT) etc. Category: Education & Learning. Tags: Internship, Legal, Cyber Law, Management, Student."
sipocagi,Student Internship Programme,SIP-CAG,Central,Individual,Comptroller And Auditor General Of India,All,Education & Learning,Internship;Student;Information Technology,"The Student Internship Program, a unique learning opportunity aims to provide the Interns exposure to the functioning of the CAG of India and the Indian Audit & Accounts Department.",2024-03-10,1.0,"Student Internship Programme. The Student Internship Program, a unique learning opportunity aims to provide the Interns exposure to the functioning of the CAG of India and the Indian Audit & Accounts Department. Category: Education & Learning. Tags: Internship, Student, Information Technology."
ssddap,Scholarship To Son And Daughter Of Differently Abled Persons,SSDDAP,State,Individual,Not specified (state scheme),Tamil Nadu,Social welfare & Empowerment,Scholarship;Daughter;Son;Differently Abled Person;Tamil Nadu,"The ""Scholarship to Son and Daughter of Differently Abled Persons"" scheme in Tamil Nadu is a government initiative that aims to provide financial assistance to the children of differently abled individuals for their education.",,1.0,"Scholarship To Son And Daughter Of Differently Abled Persons. The ""Scholarship to Son and Daughter of Differently Abled Persons"" scheme in Tamil Nadu is a government initiative that aims to provide financial assistance to the children of differently abled individuals for their education. Category: Social welfare & Empowerment. Tags: Scholarship, Daughter, Son, Differently Abled Person, Tamil Nadu."
awvsssi,Award Of Stipend To VJNT And SBC Students Studying In ITI,AWVSSSI,State,Individual,Not specified (state scheme),Maharashtra,Social welfare & Empowerment,Vimukta Jati Nomadic Tribes;Special Backward Class;Technical Education;ITI,The Government of Maharashtra launched a scheme that provides to encourage Vimukta Jati and Nomadic Tribes (V.J.N.T.) & Special Backward Class (S.B.C.) students and promote the interest in Technical education.,,1.0,"Award Of Stipend To VJNT And SBC Students Studying In ITI. The Government of Maharashtra launched a scheme that provides to encourage Vimukta Jati and Nomadic Tribes (V.J.N.T.) & Special Backward Class (S.B.C.) students and promote the interest in Technical education. Category: Social welfare & Empowerment. Tags: Vimukta Jati Nomadic Tribes, Special Backward Class, Technical Education, ITI."
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),DARWHBOCWWB,State,Individual,Not specified (state scheme),Haryana,Social welfare & Empowerment,Construction Worker;Accident;Disability;Financial Assistance,"The scheme “Disability Assistance for Registered Worker (HBOCWWB)” was launched by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana.",,1.0,"Disability Assistance For Registered Worker (HBOCWWB). The scheme “Disability Assistance for Registered Worker (HBOCWWB)” was launched by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana. Category: Social welfare & Empowerment. Tags: Construction Worker, Accident, Disability, Financial Assistance."
bs-hbocwwb,Bicycle Scheme (HBOCWWB),BS-(HBOCWWB),State,Individual,Not specified (state scheme),Haryana,Social welfare & Empowerment,Construction Worker;Labour;Bicycle;Financial Assistance,"The scheme “Bicycle Scheme (HBOCWWB)” was launched by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana.",,1.0,"Bicycle Scheme (HBOCWWB). The scheme “Bicycle Scheme (HBOCWWB)” was launched by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana. Category: Social welfare & Empowerment. Tags: Construction Worker, Labour, Bicycle, Financial Assistance."
sebiitdip,SEBI ITD Internship Program,SEBIITDIP,Central,Individual,Ministry Of Finance,All,Education & Learning,Internship;Student;FinTech;Business;Data Analytics,The SEBI ITD Internship Program provides hands-on training to the students of the institutes based in and around Mumbai. The program accepts up to 15 interns. The Interns accepted under this program would be given an opportunity to work on different Information Technology (IT) projects.,,1.0,"SEBI ITD Internship Program. The SEBI ITD Internship Program provides hands-on training to the students of the institutes based in and around Mumbai. The program accepts up to 15 interns. The Interns accepted under this program would be given an opportunity to work on different Information Technology (IT) projects. Category: Education & Learning. Tags: Internship, Student, FinTech, Business, Data Analytics."
fadc-hbocwwb,Financial Assistance To Disabled Children (HBOCWWB),FADC-(HBOCWWB),State,Individual,Not specified (state scheme),Haryana,Social welfare & Empowerment,Construction Worker;Children;Disability;Financial Assistance,"The scheme “Financial Assistance to Disabled Children (HBOCWWB)” was launched by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana.",,1.0,"Financial Assistance To Disabled Children (HBOCWWB). The scheme “Financial Assistance to Disabled Children (HBOCWWB)” was launched by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana. Category: Social welfare & Empowerment. Tags: Construction Worker, Children, Disability, Financial Assistance."
dpmss,Devnarayan Post Matric Scholarship Scheme,DPMSS,State,Individual,Not specified (state scheme),Rajasthan,Education & Learning,Student;Scholarship;Financial Assistance;Education,"In Rajasthan, the Post-matriculation scholarship scheme is run by the Department of Social Justice and Empowerment for the educational upliftment of students.",,1.0,"Devnarayan Post Matric Scholarship Scheme. In Rajasthan, the Post-matriculation scholarship scheme is run by the Department of Social Justice and Empowerment for the educational upliftment of students. Category: Education & Learning. Tags: Student, Scholarship, Financial Assistance, Education."
ehstgs,Economic Help To Sahariya Tribal Girl Students (Class 11 And 12),EHSTGS,State,Individual,Not specified (state scheme),Rajasthan,Education & Learning;Women and Child,Financial Assistance;Education;Girl Empowerment,Rajasthan Government started a scholarship for Sahariya tribal girls' higher education (Class 11 and 12).,,1.0,"Economic Help To Sahariya Tribal Girl Students (Class 11 And 12). Rajasthan Government started a scholarship for Sahariya tribal girls' higher education (Class 11 and 12). Category: Education & Learning, Women and Child. Tags: Financial Assistance, Education, Girl Empowerment."
vspgsc,Vayomadhuram Scheme For Providing Glucometer To Senior Citizens,VSPGSC,State,Individual,Not specified (state scheme),Kerala,Social welfare & Empowerment,Glucometer;Senior Citizen;Old Age;Diabetes;Patient;BPL;Diabetic,"The scheme “Vayomadhuram Scheme for Providing Glucometer to Senior Citizens” was launched by the Department of Social Justice, Government of Kerala.",,1.0,"Vayomadhuram Scheme For Providing Glucometer To Senior Citizens. The scheme “Vayomadhuram Scheme for Providing Glucometer to Senior Citizens” was launched by the Department of Social Justice, Government of Kerala. Category: Social welfare & Empowerment. Tags: Glucometer, Senior Citizen, Old Age, Diabetes, Patient, BPL, Diabetic."
mkvymp,Mukhyamantri Kanya Vivaah / Nikaah Yojana,MKVYMP,State,Individual,Not specified (state scheme),Madhya Pradesh,Social welfare & Empowerment;Women and Child,Financial Assitance;Marriage Grant;Group Marriage;Empowerment,"In 2006, Madhya Pradesh State Government started the ""Mukhyamantri Kanya Vivaah Yojana"" for females/girls.",,1.0,"Mukhyamantri Kanya Vivaah / Nikaah Yojana. In 2006, Madhya Pradesh State Government started the ""Mukhyamantri Kanya Vivaah Yojana"" for females/girls. Category: Social welfare & Empowerment, Women and Child. Tags: Financial Assitance, Marriage Grant, Group Marriage, Empowerment."
gtvtswsawwws,"Goa (Technical/ Vocational Training To Sex Workers And Sexually Abused Women) Scheme, 2013 (PRABHAT)",GTVTSWSAWWWS,State,Individual,Not specified (state scheme),Goa,Social welfare & Empowerment;Education & Learning;Health & Wellness;Business & Entrepreneurship;Skills & Employment;Women and Child,Shelter;Education;Sex Worker;Reintegration;Protection;Skill;Vocational Education,The scheme provides technical/vocational training for sex workers and sexually abused women to enable them to earn for their livelihood through such technical/vocational training and skill. The department will take the assistance of members of reputed NGOs/Trust/Society/professionals/expert bodies.,,1.0,"Goa (Technical/ Vocational Training To Sex Workers And Sexually Abused Women) Scheme, 2013 (PRABHAT). The scheme provides technical/vocational training for sex workers and sexually abused women to enable them to earn for their livelihood through such technical/vocational training and skill. The department will take the assistance of members of reputed NGOs/Trust/Society/professionals/expert bodies. Category: Social welfare & Empowerment, Education & Learning, Health & Wellness, Business & Entrepreneurship, Skills & Employment, Women and Child. Tags: Shelter, Education, Sex Worker, Reintegration, Protection, Skill, Vocational Education."
fawdsddaw,Widow Daughter Marriage Scheme,WDMS,State,Individual,Not specified (state scheme),Delhi,Social welfare & Empowerment;Women and Child,Marriage;Daughter;Poor Widow;Financial Assistance,"Department of WCD, Delhi Government is implementing various Financial Assistance for the benefit of different sections through Financial Assistance Cell. Department of WCD is running Widow’s Daughter Marriage(WDM) for the benefit of widows/women in distress.",,1.0,"Widow Daughter Marriage Scheme. Department of WCD, Delhi Government is implementing various Financial Assistance for the benefit of different sections through Financial Assistance Cell. Department of WCD is running Widow’s Daughter Marriage(WDM) for the benefit of widows/women in distress. Category: Social welfare & Empowerment, Women and Child. Tags: Marriage, Daughter, Poor Widow, Financial Assistance."
mip,MANAGE Internship Programme,MIP,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,Education & Learning,Internship;Student;Agriculture;Management;Environment,"MANAGE Internship Programme is open to students from the disciplines of Extension Education, Economics, Sociology, Psychology, MSW, Journalism, Communication, and Environmental Science. The internships are open year-round, and the duration ranges from 3 months upto 6 months.",,1.0,"MANAGE Internship Programme. MANAGE Internship Programme is open to students from the disciplines of Extension Education, Economics, Sociology, Psychology, MSW, Journalism, Communication, and Environmental Science. The internships are open year-round, and the duration ranges from 3 months upto 6 months. Category: Education & Learning. Tags: Internship, Student, Agriculture, Management, Environment."
faimcescstc,Financial Assistance To Inter-Caste Married Couples (Except SC/ST Category),FAIMC(ESC/STC),State,Individual,Not specified (state scheme),Kerala,Social welfare & Empowerment,Inter-Caste;Financial Assistance;Marriage;Legally Married;Couples,"The scheme “Financial Assistance to Inter-Caste Married Couples (Except SC/ST Category)” was launched by the Department of Social Justice, Government of Kerala.",,1.0,"Financial Assistance To Inter-Caste Married Couples (Except SC/ST Category). The scheme “Financial Assistance to Inter-Caste Married Couples (Except SC/ST Category)” was launched by the Department of Social Justice, Government of Kerala. Category: Social welfare & Empowerment. Tags: Inter-Caste, Financial Assistance, Marriage, Legally Married, Couples."
pudhumai-penn-scheme,Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme,PUDHUMAI PENN SCHEME,State,Individual,Not specified (state scheme),Tamil Nadu,Education & Learning;Women and Child,Girl;Student;School;Education;Financial Assistance,"The scheme “Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme” was launched by the Department of Social Welfare & Women Empowerment, Government of Tamil Nadu.",,1.0,"Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme. The scheme “Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme” was launched by the Department of Social Welfare & Women Empowerment, Government of Tamil Nadu. Category: Education & Learning, Women and Child. Tags: Girl, Student, School, Education, Financial Assistance."
npcsip,NPC Students Internship Program,NPCSIP,Central,Individual,Ministry Of Commerce And Industry,All,Education & Learning,Internship;Student;Industry;Postgraduation;DPIIT,National Productivity Council (NPC) provides internship training to students pursuing graduation and post-graduation. The interns shall be given exposure to related interventions being activities undertaken by NPC which will provide opportunities to learn and implement new concepts.,,1.0,"NPC Students Internship Program. National Productivity Council (NPC) provides internship training to students pursuing graduation and post-graduation. The interns shall be given exposure to related interventions being activities undertaken by NPC which will provide opportunities to learn and implement new concepts. Category: Education & Learning. Tags: Internship, Student, Industry, Postgraduation, DPIIT."
cmcsrs,Chief Minister’s College Students Rehabilitation Scheme (CMCSRS),CMCSRS,State,Individual,Not specified (state scheme),Manipur,Education & Learning,Student;Scholarship;Rehabilitation;Smartphone;Undergraduate,CMCSRS aims at providing the required educational facilities to the displaced and affected undergraduate students because of the prevailing social unrest in the state. This scheme is initiated to enable such students to continue with their education without interruption.,,1.0,"Chief Minister’s College Students Rehabilitation Scheme (CMCSRS). CMCSRS aims at providing the required educational facilities to the displaced and affected undergraduate students because of the prevailing social unrest in the state. This scheme is initiated to enable such students to continue with their education without interruption. Category: Education & Learning. Tags: Student, Scholarship, Rehabilitation, Smartphone, Undergraduate."
isscpswhse,Internship Scheme For Students Of Counselling/ Psychology/ Social Work/ Home Science Etc,ISSCPSWHSE,State,Individual,Not specified (state scheme),Goa,Education & Learning,Internship;Student;Social Welfare;Postgraduation,The objective of this scheme is to offer aspiring postgraduate students an opportunity for internship facilities to be trained as qualified interns in state-run private children's and shelter homes who can be offered hands-on job training experience.,,1.0,"Internship Scheme For Students Of Counselling/ Psychology/ Social Work/ Home Science Etc. The objective of this scheme is to offer aspiring postgraduate students an opportunity for internship facilities to be trained as qualified interns in state-run private children's and shelter homes who can be offered hands-on job training experience. Category: Education & Learning. Tags: Internship, Student, Social Welfare, Postgraduation."
tgsctclvccmuo,Travel Grant Scheme For College Teachers / College Librarians / Vice Chancellors / Commission Members And UGC Officers,TGSCTCLVCCMUO,Central,Individual,Ministry of Education,All,Education & Learning,Travel;Conference;Grant;International;Teacher;Librarian,"This scheme provides financial assistance to permanent teachers and librarians of colleges and vice-chancellors of state universities, deemed to be universities and central universities to present research papers at international conferences abroad.",,1.0,"Travel Grant Scheme For College Teachers / College Librarians / Vice Chancellors / Commission Members And UGC Officers. This scheme provides financial assistance to permanent teachers and librarians of colleges and vice-chancellors of state universities, deemed to be universities and central universities to present research papers at international conferences abroad. Category: Education & Learning. Tags: Travel, Conference, Grant, International, Teacher, Librarian."
fimdgc,Financial Incentives To Mothers Who Deliver A Girl Child (Mamta),FIMDGC,State,Individual,Not specified (state scheme),Goa,Health & Wellness;Women and Child,Mother;Pregnant;Birth;Girl Child;Medical Institution;ICDS,The objective of the Mamta Scheme is aimed at improving the Female Child Sex Ratio in the State. The scheme is open to all mothers who deliver a live Girl Child (max. 02 deliveries) in a registered medical institution. The scheme shall be implemented through the ICDS.,,1.0,"Financial Incentives To Mothers Who Deliver A Girl Child (Mamta). The objective of the Mamta Scheme is aimed at improving the Female Child Sex Ratio in the State. The scheme is open to all mothers who deliver a live Girl Child (max. 02 deliveries) in a registered medical institution. The scheme shall be implemented through the ICDS. Category: Health & Wellness, Women and Child. Tags: Mother, Pregnant, Birth, Girl Child, Medical Institution, ICDS."
